,movie_comment,movie_id,movie_score,movie_time
116,没有不可陨落的偶像，没有掌声会直至离场,25703430,2,2015-10-24
117,剧本、表演、摄影、音乐的有机配合,25908051,5,2015-10-23
118,欧美版古宅心慌慌；说明自己做饭是多么重要,23424586,3,2015-10-23
119,这妈不认的剧情倒是搅基百合两不误；心疼我张敬轩配的什么玩意儿,3047989,3,2015-10-18
120,恶心得茴香面都吃不下,25964071,1,2015-10-17
121,一篇优秀的记叙文,25819229,4,2015-10-16
122,技术宅改变星球,25864085,4,2015-10-03
123,Blunt’s performance has an edge of steel,25881247,5,2015-10-03
124,梦想总是要有的，万一见鬼了呢,25895276,4,2015-09-11
125,,25986287,3,2015-09-08
126,锦城虽云乐，不如早还家,25941626,4,2015-09-08
127,摊上这么个主子真TM日了狗了,2993846,3,2015-09-04
128,,3176525,4,2015-09-03
129,再喜欢的演员也无法拯救一部惊天动地的烂片；心疼晓姐亚文,25849475,1,2015-09-02
130,改编图兰朵的配乐不错；当我知道阿汤哥亲身上阵扒飞机就跪了,10727641,4,2015-08-22
131,卷毛这战斗力也有砍瓜切菜一样杀人的一天,25763555,3,2015-08-21
132,哼超帅帅哒！锤砸萌萌哒！钙导么么哒！对我就是这么肤浅O(∩_∩)O~~,6845667,5,2015-08-21
133,恶心腐也是挺不好卖的,25938856,4,2015-08-02
134,又蠢又作还好意思做人渣,3812226,3,2015-07-28
135,心累,25820279,3,2015-07-25
136,我从未见过如此厚颜无耻之人呵呵,25829451,3,2015-07-25
137,,6872273,4,2015-07-19
138,,11624706,3,2015-07-17
139,丫拍汉尼拔呢天眼开得那么爽？,26345152,2,2015-07-13
140,"When I found it impossible to absorb everything in a single viewing, I grew up.",10533913,5,2015-07-12
141,Inside out贴片动画；虽然很蠢，但看到Uku要沉下去这辈子都不能实现愿望的时候还是好难过,25911811,4,2015-07-12
142,每次看都能笑笑,4237879,4,2015-06-29
143,童年阴影系列,1302471,4,2015-06-27
144,看电影那年，我大概还是个文艺小清新,5993185,4,2015-06-27
145,知识改变命运；坤哥年轻时真是好看,1296769,4,2015-06-20
146,Like a dream too beautiful to come true,5153254,4,2015-06-20
147,看似讲八三夭，实际只是一个人的选择与成长，人生从来没有如果；故事太分散,20515070,4,2015-06-13
148,My boyfriend is a BADASS!!!!,10440138,4,2015-06-13
149,,6435936,2,2015-06-10
150,男神帅炸了！！！！！！！！！！！！,3592854,5,2015-06-09
151,导演亲身上阵苏男主的电视剧,3434538,2,2015-06-07
152,大陆电影要触底反弹了？？？？,26259634,1,2015-06-05
153,乱炖还不好吃,10546762,2,2015-06-05
154,又名《每年214虐杀单身狗》,2368641,3,2015-06-05
155,坐飞机时瞄着隔壁大妈ipad看完了整部，太可怕了；朴信惠小时候也挺好看的，就是没看出来和《继》里是同一个人,2279940,1,2015-06-02
156,导演你开心就好,25709273,2,2015-06-02
157,“民国鬼畜版《元首的愤怒》”,6126442,3,2015-06-02
158,"Good bye, in the last night.",21349734,3,2015-06-02
159,"It shows blood, dust, hardness, sacrifice, patriotism, impavidity but not glory.",21263666,4,2015-06-02
160,Injustice destroyes everyone's life,24742719,5,2015-06-02
161,,1863699,1,2015-05-25
162,,6875610,2,2015-05-23
163,文艺伦理谍战片,6965622,5,2015-05-22
164,不能多看,3804629,4,2015-05-21
165,全片都在注意女主的胸,3011051,3,2015-05-21
166,人到底是活在自己的认知里还是别人的印象中,25755608,4,2015-05-20
167,,24840488,2,2015-05-20
168,旋转镜头好棒,25870483,5,2015-05-19
169,Jessica Biel is sooooooo~ bitchy:),3007819,2,2015-05-19
170,死了干净,3737117,4,2015-05-17
171,剧情繁杂，重点模糊，逻辑混乱，人物单薄,10741834,3,2015-05-15
172,布鲁斯南唱歌超级无敌难听,2054024,3,2015-05-08
173,,2214140,2,2015-05-04
174,三流编剧，二流剪辑，一流演技，扣人心弦的杀戮演绎,1306692,4,2015-05-04
175,,3068206,4,2015-05-04
176,I'll tell you all about it till I see you again,23761370,4,2015-04-25
177,,10487568,3,2015-04-25
178,大超老爷你们快去结婚吧,21349175,5,2015-04-22
179,夹带了各种私货捏他梗却不让人讨厌,3927734,5,2015-04-20
180,,2132736,2,2015-04-18
181,形式大于内容，蛇精病得带感,4896894,4,2015-04-15
182,格局太小，煽情刻意，缺少亮点，男女主丑得各有千秋,10463953,4,2015-04-15
183,矫情人终成眷属,3036464,3,2015-04-15
184,没有争取就没有权利，不去展示又何来认同，愿你们被世界同样温柔以待——2015.6.26,25740192,5,2015-04-14
185,不信抬头看，苍天饶过谁,25832936,5,2015-04-14
186,看多了会中毒,26331937,3,2015-04-14
187,看在圣诞节份上不跟你们计较哼╭(╯^╰)╮,1292401,3,2015-04-11
188,扯蛋式被害妄想主旋律电影，斯巴达大战思密达,10743974,2,2015-04-11
189,一对作天作地的狗男女，简直浪费演员,24470523,3,2015-04-08
190,片名应该叫《大龄女屌的白日梦》,1304585,3,2015-04-07
191,I miss cricket.,1297147,3,2015-04-07
192,修罗场电影,2135981,4,2015-04-05
193,Won't you stay with me  'Cause you're all I NEED,25912858,5,2015-04-02
194,岸亲海斗请收下我的膝盖,26258819,4,2015-04-02
195,小区保安队大战居委会恶霸；给定制西装加一颗星,24405378,4,2015-03-31
196,"The Quaterback, R.I.P",24846671,3,2015-03-27
197,"""See the world not as it is, but as it should be.""
Farewell, Glee.",25742234,4,2015-03-27
198,这真不是在岸上拍的么？,20561958,2,2015-03-17
199,汤唯贡献了教科书级别的面瘫演技,10545939,4,2015-03-15
200,,2998373,3,2015-03-15
201,温暖得不像娄烨,20020577,5,2015-03-10
202,人在做，天在看,10438426,4,2015-03-09
203,这个班底去排个舞都比拍电影好啊,4842877,2,2015-03-08
204,《如何做一个碧池的圣母》,3213173,4,2015-03-08
205,WHAT A MISERABLE LIFE I AM LIVING IN,20438962,5,2015-03-08
206,The text is like an object. It's gonna change perspective based on where you're standing.,19976774,5,2015-03-07
207,不知所云,19984570,2,2015-03-06
208,反贪电视剧,25792690,2,2015-03-06
209,欧美悬疑奇情故事,1296397,3,2015-03-05
210,"""I am satisfied with my care.""",11026735,5,2015-03-05
211,如果直接被校车撞死就神作了红红火火恍恍惚惚,1309084,3,2015-03-04
212,兄弟会和妇联的智商差了20只小蜘蛛？？,1401524,3,2015-03-01
213,全剧组智商掉线，难看得想报警；AB你接这种剧本是脑抽了么？？！！,25823833,1,2015-02-28
214,这是为了满足墨镜用美图秀秀滤镜的欲望么？,3726072,4,2015-02-26
215,跟黄飞鸿什么仇什么怨,25444447,2,2015-02-26
216,,24404677,2,2015-02-25
217,狗爹萌萌哒～感觉波波影后小时候的演技还好一点呢,1295644,4,2015-02-25
218,,10604486,2,2015-02-24
219,最毒妇人心哟～,1292649,4,2015-02-24
220,"- 你们把所有人都杀了，还有谁来保卫祖国 
老大哥又被黑出翔
感觉脑子不够用",10766234,4,2015-02-24
221,,4151110,4,2015-02-24
222,这真的不是itv家的电视电影么？还有男神你死得好冤哪～,3914547,4,2015-02-24
223,一步之遥都要听吐了,25789352,2,2015-02-23
224,,1303976,3,2015-02-23
225,鬼都是小神龙俱乐部出来的吧,5150235,3,2015-02-23
226,一个煞笔女人引发的故事,11601131,3,2015-02-22
227,百老汇级别的歌曲演绎，炫目的动画特效，符合当下女权主义兴盛潮流的电影文本，迪士尼回归的完美一役,4202982,5,2015-02-22
228,,1418190,4,2015-02-21
229,导演滚回去拍叉男吧,1418191,3,2015-02-21
230,脑洞好大，花絮也是萌萌哒,10745405,4,2015-02-21
231,第一次想谢谢温暖的片尾：黑夜里一束深蓝色探照灯光，没有让人沉入绝望的深海,10484601,5,2015-02-21
232,二流耽美小说即视感,25962762,3,2015-01-31
233,执政党被黑出翔,25743807,1,2015-01-01
234,现在想看个爽文也不容易，手撕就手撕吧,10807909,5,2014-12-29
235,莫名其妙,20452350,3,2014-12-15
236,剪辑混乱，内容贫乏，演唱会和选秀部分太多，粉丝太吵。BUT I AM STILL A DIRECTIONER:),20388191,4,2014-12-14
237,直男？你TM在逗我？！监制竟然是Bryan Singer这个小婊砸？！！,24751154,3,2014-12-11
238,第一部也是唯一一部大河，月代头实在太丑,2131161,5,2014-12-10
239,,6730004,3,2014-12-09
240,老人痴呆太可怕了,3073158,3,2014-12-08
241,没有一条路能让所有人都幸福,1456204,5,2014-11-28
242,我喜欢忧郁的Marvin不过其他都是什么鬼,1292267,4,2014-11-28
243,剧组选人时是完全没有考虑脸盲症患者的感受吗？！,2034997,4,2014-11-25
244,,3789848,4,2014-11-22
245,动不动就射你一脸咯,2129132,3,2014-11-22
246,,6985810,5,2014-11-21
247,贱！人！就！是！矫！情！,24312921,2,2014-11-21
248,为女主睡过的男人们给五星！,3071624,5,2014-11-21
249,There are still faint glimmers of civilization left in this barbaric slaughterhouse that was once known as humanity. He was one of them.,11525673,5,2014-11-18
250,《我全家都是极品》,24722793,3,2014-11-16
