,movie_comment,movie_id,movie_score,movie_time
356,用神逻辑打败神逻辑；一美遇神杀神帅爆了；他爹竟然是Pianist里的德国军官啊啊啊啊妈蛋好帅,1945336,3,2014-07-04
357,还不错，刷成宋佳粉,4011034,4,2014-07-02
358,,1302827,4,2014-07-01
359,光认人了。。。,3530403,4,2014-07-01
360,,4212172,3,2014-07-01
361,看得头晕,7054604,2,2014-07-01
362,就记得高圆圆好漂亮,1322851,4,2014-06-26
363,略不懂。。。,1299661,4,2014-06-26
364,会统计的小胖子太可爱惹,3023164,4,2014-06-26
365,两星给张晋,11625097,3,2014-06-25
366,槽多无口；郑恺真拉好感值,6984064,2,2014-06-24
367,,3041264,3,2014-06-18
368,我了个去导演是Matthew Vaughn这画风不对啊,1309185,3,2014-06-14
369,呵呵呵三观不正,1859036,3,2014-06-14
370,现在看刘烨所有角色都像智障,2222995,3,2014-06-14
371,线索杂乱，影片节奏掌握不好；精彩点都在trailer里了；quicksilver的中二病给了他爹；范爷真漂亮；团灭的时候要哭了。。。,10485647,4,2014-06-14
372,哥斯拉把奥特曼的活干了；跳伞那段美哭其他都不怎么样；老白是全片唯一有演技的人,2063914,4,2014-06-13
373,Michael Caine+Christopher Plummer；CCTV6看的,1297608,3,2014-06-12
374,名导组团黑巴黎的短片集,1783772,3,2014-06-10
375,百合片也看不下去啊MTV你们家演技真捉急啊,25869233,3,2014-06-09
376,剪辑不错，其他有待加强,3569911,3,2014-06-09
377,,25756355,1,2014-06-09
378,拍的还不如微电影呢呵呵,10605978,2,2014-06-03
379,,3205624,5,2014-05-31
380,滤镜色调和过曝镜头很漂亮,6722879,4,2014-05-31
381,记者的道德观和宗教的善恶的碰撞,19973780,4,2014-05-31
382,剧情荒诞叙事散乱，想玩小清新又没玩好,20452272,3,2014-05-04
383,一气呵成,3831320,5,2014-05-04
384,,1921465,4,2014-05-04
385,内涵卖肉片；马修酥酥舔舔舔,6383498,3,2014-05-04
386,SONY家视效和配乐碉堡；DD不如付兰兰前半lucien后半andrew；还有616里再也没有美丽可爱聪明幽默学霸的Gwen了TAT,6082518,4,2014-05-04
387,,21334996,4,2014-05-03
388,,10512090,3,2014-04-25
389,联考满分不是梦蛤蛤蛤,1309181,3,2014-04-25
390,文科僧小盆宇你萌得了中二病不要放弃治疗啊；配乐不错,10453731,3,2014-04-25
391,,3230459,4,2014-04-13
392,Ezra很男神嘛(⊙_⊙),4847665,4,2014-04-13
393,叉男初恋,3168089,5,2014-04-13
394,开头两集简直是神剧节奏，后面的是啥。。。,3026632,4,2014-04-13
395,剧情不重要也不要这样敷衍啊。。。看在肉体的份上打得分,1308674,4,2014-04-13
396,非典型僵尸片；每个人都可能是肖恩,1308755,4,2014-04-13
397,重启后第一部；除了WW外其他CP已分配完毕；Aquaman没出来呢。。。,25760447,5,2014-04-12
398,音乐不错，剧情有点难懂，太压抑了,1309066,4,2014-04-12
399,,1418834,5,2014-04-08
400,“你是为了我而战的，你就是属于我的。”,7051375,5,2014-04-08
401,渐入佳境,7051373,5,2014-04-08
402,二次元唯一男神格里菲斯,5308201,5,2014-04-08
403,,4195678,5,2014-04-08
404,JLA目前最佳,24718965,5,2014-04-08
405,肉搏好挫。。。,3395373,4,2014-04-08
406,漫威最佳；一定要看彩蛋,6390823,4,2014-04-08
407,,2138838,3,2014-04-05
408,,19970533,5,2014-03-29
409,讽刺意味过重,7054120,4,2014-03-29
410,日本流行乐坛的几位大神加玉芝就整出这玩意。。。,1308523,2,2014-03-28
411,人总是在不经意间就做了碧池,24705628,5,2014-03-28
412,最好的一季，无论是音乐还是剧情,4303681,5,2014-03-24
413,"""Face Cancer Together""，有仔如此夫复何求咯",3263820,4,2014-03-22
414,后半个小时竟然全是泪点；一美和Roma都好青春,1460030,4,2014-03-22
415,以小见大,7152895,5,2014-03-22
416,,1309069,4,2014-03-22
417,那么神秘复杂的铺垫就讲个俩地下党争女人的故事；里斯本很美啊,5327381,3,2014-03-22
418,一群有钱漂亮文艺的中二病,1366856,3,2014-03-22
419,"New York, New York很好听",5360890,4,2014-03-22
420,看了三次。。。才看完额,1292217,4,2014-03-21
421,道德伦理悬疑凶杀才子佳人爱恨情仇全方位多角度满足各年龄阶级教育程度观众的需要你值得拥有,1433577,4,2014-03-21
422,蛤蛤蛤,1862913,4,2014-03-21
423,"“I love you.""""I love you too.""——说这话的是俩男主角",4301278,3,2014-03-21
424,电视电影意外地感人,2133337,5,2014-03-21
425,Daniel那时还是鲜肉。。。,1292055,4,2014-03-21
426,Niki怎么会这么萌！！！,6803494,5,2014-03-21
427,诺兰玩得一手好结构！！壮哉我大特斯拉！！,1780330,5,2014-03-21
428,美版万万没想到,24737173,4,2014-03-21
429,用丧尸题材讲认同故事,21973146,5,2014-03-21
430,,3097445,4,2014-03-21
431,,1968438,4,2014-03-21
432,粉...也...不...能...忍...,6124012,3,2014-03-21
433,BGM赞；其实这是反讽吧马达那呆萌样；原著好好看；唉,1295045,5,2014-03-21
434,蛇精病逗比剧；贝尔好帅！！！,1301715,4,2014-03-21
435,三部曲最佳,1851857,5,2014-03-21
436,不功不过,6560058,3,2014-03-21
437,漫威其他个人系列难以企及的良心作呵呵,1866479,4,2014-03-21
438,这漫画压根就不应该改成电影真是为天朝量身定做呵呵自由反极权你妹沃卓斯基姐弟也拯救不鸟这傻逼片子喂,1309046,3,2014-03-21
439,三个演员都挺喜欢竟然看不下去。。。,10482125,3,2014-03-21
440,非主流黑帮片？,2138299,4,2014-03-21
441,没有小说好看吧。。。,3338851,4,2014-03-21
442,“After Many a Summer Dies the Swan”,3275168,5,2014-03-21
443,“虽然我已经被打翻在地了，可我又爬了起来，我要接着打下去。” 人类总能找到格斗的意义,3217169,5,2014-03-21
444,“每个人都是一座孤岛”,5322596,5,2014-03-21
445,西斯空寂；最后一幕赞；BGM赞,6537486,5,2014-03-21
446,第二季算最好看的,3922254,5,2014-03-21
447,爽！,19955828,5,2014-03-21
448,To rewalk the road to the hell.,25755667,5,2014-03-17
449,It's definitely not a comedy.,10808371,4,2014-03-17
450,很好的传记片和选曲,1296736,5,2014-03-12
451,嗯，有年轻的Dominic和小狼和还没老的Stephen Campbell；话剧感太重了；不喜欢文科男。。。,1871817,3,2014-03-10
452,马修路人粉转脑残粉,10748120,5,2014-03-08
453,,5996801,3,2014-02-13
454,,5110481,,2014-02-12
455,我家男神发际线后移了还是一样帅惹~~~~,2363876,5,2014-02-11
456,RF让欺骗都变得高雅；94神片年,1292759,4,2014-02-11
457,约翰·勒卡雷原著,1419856,4,2014-02-11
458,一直不喜欢Colin Farrell，直到影片结尾他倒在雪地上；原声太赞给多一星,2044089,4,2014-02-11
459,唯一一部让我觉得爱情凌驾于道德伦理战争政治的电影,1291853,5,2014-02-11
460,,20388717,,2014-02-05
461,,10535568,5,2014-01-23
462,神展开,5149279,3,2014-01-23
463,艾伦金斯堡,3210534,3,2014-01-23
464,妈蛋连中文字幕都找不到！！,1987406,4,2014-01-23
